Row Labels,Ward/Project Number,Project Name,SubProject Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,FLT000476-13,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2011,91,0,0,0,0,0,0,0,0,0
,FLT000476-14,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2012,53,0,0,0,0,0,0,0,0,0
,FLT000476-16,Library - Fleet Replacement, Vehicle/Equipment Purchase - 2014,154,0,0,0,0,0,0,0,0,0
,FLT000476-17,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2015,0,460,0,0,0,0,0,0,0,0
,FLT000476-19,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2017,0,0,0,153,0,0,0,0,0,0
,FLT000476-21,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,300,0,0,0,0
,FLT000476-22,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,870,0,0,0
,FLT000476-24,Library - Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,195,0
,FLT000478-21,"Parks, Forestry & Recreation-Fleet Replacement",Vehicle/Equipment Purchase - 2019,0,0,0,0,0,"7,387",0,0,0,0
,FLT000478-22,"Parks, Forestry & Recreation-Fleet Replacement",Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,"7,750",0,0,0
,FLT000478-24,"Parks, Forestry & Recreation-Fleet Replacement",Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,"7,750",0,0
,FLT000478-25,"Parks, Forestry & Recreation-Fleet Replacement",Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,"7,750",0
,FLT000479-14,Purchasing & Materials Mgmt- Fleet Replacement,Vehicle/Equipment Purchase - 2012,65,0,0,0,0,0,0,0,0,0
,FLT000479-16,Purchasing & Materials Mgmt- Fleet Replacement,Vehicle/Equipment Purchase - 2014,85,0,0,0,0,0,0,0,0,0
,FLT000479-22,Purchasing & Materials Mgmt- Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,35,0,0,0
,FLT000481-15,Municipal Licensing & Standards-Fleet Replacement, Vehicle/Equipment Purchase - 2013,400,0,0,0,0,0,0,0,0,0
,FLT000481-18,Municipal Licensing & Standards-Fleet Replacement, Vehicle/Equipment Purchase - 2016,0,0,229,0,0,0,0,0,0,0
,FLT000481-22,Municipal Licensing & Standards-Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,580,0,0,0
,FLT000481-23,Municipal Licensing & Standards-Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,580,0,0
,FLT000481-24,Municipal Licensing & Standards-Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,600,0
,FLT000482-11,Solid Waste - Fleet Replacement,Vehicle/Equipment Purchase - 2009,8,0,0,0,0,0,0,0,0,0
,FLT000482-12,Solid Waste - Fleet Replacement,Vehicle/Equipment Purchase - 2010,40,0,0,0,0,0,0,0,0,0
,FLT000482-20,Solid Waste - Fleet Replacement,Vehicle/Equipment Purchase - 2018,0,0,0,0,"10,000",0,0,0,0,0
,FLT000483-12,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2011,22,0,0,0,0,0,0,0,0,0
,FLT000483-13,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2012,81,0,0,0,0,0,0,0,0,0
,FLT000483-14,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2013,154,0,0,0,0,0,0,0,0,0
,FLT000483-16,Technical Services Fleet Replacement, Vehicle/Equipment Purchase - 2015,0,323,0,0,0,0,0,0,0,0
,FLT000483-17,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,331,0,0,0,0,0,0,0
,FLT000483-18,Technical Services Fleet Replacement, Vehicle/Equipment Purchase - 2017,0,0,0,338,0,0,0,0,0,0
,FLT000483-19,Technical Services Fleet Replacement, Vehicle/Equipment Purchase - 2018,0,0,0,0,346,0,0,0,0,0
,FLT000483-20,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,353,0,0,0,0
,FLT000483-21,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,370,0,0,0
,FLT000483-22,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,370,0,0
,FLT000483-23,Technical Services Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,400,0
,FLT000484-12,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2010,8,0,0,0,0,0,0,0,0,0
,FLT000484-13,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2011,23,0,0,0,0,0,0,0,0,0
,FLT000484-15,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2013,"3,390",0,0,0,0,0,0,0,0,0
,FLT000484-16,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2014,900,"3,000",0,0,0,0,0,0,0,0
,FLT000484-17,Transportation-Fleet Replacement, Vehicle/Equipment Purchase - 2015,0,"3,900",0,0,0,0,0,0,0,0
,FLT000484-18,Transportation-Fleet Replacement, Vehicle/Equipment Purchase - 2016,0,0,"3,900",0,0,0,0,0,0,0
,FLT000484-19,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2017,0,0,0,"3,900",0,0,0,0,0,0
,FLT000484-20,Transportation-Fleet Replacement, Vehicle/Equipment Purchase - 2018,0,0,0,0,"3,900",0,0,0,0,0
,FLT000484-21,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,"3,900",0,0,0,0
,FLT000484-22,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,"3,900",0,0,0
,FLT000484-24,Transportation-Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,"3,900",0,0
,FLT000484-25,Transportation-Fleet Replacement,Vehicle/Equipment Purchae - 2022,0,0,0,0,0,0,0,0,"3,900",0
,FLT000486-14,EMS-Fleet Replacement,Vehicle/Equipment Purchase - 2012,20,0,0,0,0,0,0,0,0,0
,FLT000487-12,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2010,36,0,0,0,0,0,0,0,0,0
,FLT000487-13,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2011,69,0,0,0,0,0,0,0,0,0
,FLT000487-15,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2013,"2,000",0,0,0,0,0,0,0,0,0
,FLT000487-16,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2014,"5,203","2,000",0,0,0,0,0,0,0,0
,FLT000487-17,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2015,0,"6,803",0,0,0,0,0,0,0,0
,FLT000487-18,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,"7,203",0,0,0,0,0,0,0
,FLT000487-19,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2017,0,0,0,"7,203",0,0,0,0,0,0
,FLT000487-20,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2018,0,0,0,0,"7,203",0,0,0,0,0
,FLT000487-21,Fire-Fleet Replacement, Vehicle/Equipment Purchase - 2019,0,0,0,0,0,"7,203",0,0,0,0
,FLT000487-22,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,"7,203",0,0,0
,FLT000487-24,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,"7,203",0,0
,FLT000487-25,Fire-Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,"7,203",0
,FLT000489-16,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2014,350,0,0,0,0,0,0,0,0,0
,FLT000489-17,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2015,0,350,0,0,0,0,0,0,0,0
,FLT000489-18,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,350,0,0,0,0,0,0,0
,FLT000489-19,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2017,0,0,0,350,0,0,0,0,0,0
,FLT000489-20,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2018,0,0,0,0,350,0,0,0,0,0
,FLT000489-21,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,350,0,0,0,0
,FLT000489-22,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,350,0,0,0
,FLT000489-23,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,350,0,0
,FLT000489-24,Zoo-Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,350,0
,FLT000491-16,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2014,329,0,0,0,0,0,0,0,0,0
,FLT000491-17,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2015,0,361,0,0,0,0,0,0,0,0
,FLT000491-18,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,371,0,0,0,0,0,0,0
,FLT000491-19,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2017,0,0,0,383,0,0,0,0,0,0
,FLT000491-20,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2018,0,0,0,0,394,0,0,0,0,0
,FLT000491-21,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,406,0,0,0,0
,FLT000491-22,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,400,0,0,0
,FLT000491-23,Exhibition Place - Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,400,0,0
,FLT000491-24,Exhibition Place - Fleet Replacement,Vehicle/Equpment Purchase - 2022,0,0,0,0,0,0,0,0,400,0
,FLT000492-13,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2012,336,0,0,0,0,0,0,0,0,0
,FLT000492-15,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2014,150,0,0,0,0,0,0,0,0,0
,FLT000492-16,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2015,0,150,0,0,0,0,0,0,0,0
,FLT000492-17,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2016,0,0,150,0,0,0,0,0,0,0
,FLT000492-18,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2017,0,0,0,150,0,0,0,0,0,0
,FLT000492-19,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2018,0,0,0,0,150,0,0,0,0,0
,FLT000492-20,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2019,0,0,0,0,0,150,0,0,0,0
,FLT000492-21,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2020,0,0,0,0,0,0,150,0,0,0
,FLT000492-22,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2021  ,0,0,0,0,0,0,0,150,0,0
,FLT000492-23,Fleet Replacement - Insurance Contingency,Insurance Contingency - 2022,0,0,0,0,0,0,0,0,150,0
,FLT906279-10,"Fuel Site Closures, Upgrades & Replacement"," Fuel Site Closure, Upgrade & Replacement - 2016",0,0,"1,700",0,0,0,0,0,0,0
,FLT906279-11,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2017",0,0,0,"1,750",0,0,0,0,0,0
,FLT906279-12,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2018",0,0,0,0,"1,800",0,0,0,0,0
,FLT906279-13,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2019",0,0,0,0,0,"1,850",0,0,0,0
,FLT906279-14,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2020 ",0,0,0,0,0,0,"1,900",0,0,0
,FLT906279-15,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2021",0,0,0,0,0,0,0,"1,950",0,0
,FLT906279-16,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2022",0,0,0,0,0,0,0,0,"2,000",0
,FLT906279-5,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2011",194,0,0,0,0,0,0,0,0,0
,FLT906279-7,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2013","1,000",0,0,0,0,0,0,0,0,0
,FLT906279-8,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2014",500,"1,100",0,0,0,0,0,0,0,0
,FLT906279-9,"Fuel Site Closures, Upgrades & Replacement","Fuel Site Closure, Upgrade & Replacement - 2015",0,"1,650",0,0,0,0,0,0,0,0
,FLT906593-13,Arena Boards - Replacement of Ice Resurfacers ,Vehicle/Equipment Purchase - 2016,0,0,105,0,0,0,0,0,0,0
,FLT906593-14,Arena Boards - Replacement of Ice Resurfacers ,Vehicle/Equipment Purchase - 2017,0,0,0,108,0,0,0,0,0,0
,FLT906593-15,Arena Boards - Replacement of Ice Resurfacers ,Vehicle/Equipment Purchase - 2018,0,0,0,0,110,0,0,0,0,0
,FLT906593-16,Arena Boards - Replacement of Ice Resurfacers ,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,112,0,0,0,0
,FLT906593-17,Arena Boards - Replacement of Ice Resurfacers ,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,115,0,0,0
,FLT906593-18,Arena Boards - Replacement of Ice Resurfacers ,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,236,0,0
,FLT906593-19,Arena Boards - Replacement of Ice Resurfacers , Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,120,0
,FLT906672-10,Green Fleet Plan,Green Fleet Plan - 2014,100,0,0,0,0,0,0,0,0,0
,FLT906672-11,Green Fleet Plan,Green Fleet Plan - 2015,0,250,0,0,0,0,0,0,0,0
,FLT906672-12,Green Fleet Plan,Green Fleet Plan - 2016,0,0,250,0,0,0,0,0,0,0
,FLT906672-13,Green Fleet Plan,Green Fleet Plan - 2017,0,0,0,250,0,0,0,0,0,0
,FLT906672-14,Green Fleet Plan,Green Fleet Plan - 2018,0,0,0,0,250,0,0,0,0,0
,FLT906672-15,Green Fleet Plan,Green Fleet Plan - 2019,0,0,0,0,0,250,0,0,0,0
,FLT906672-16,Green Fleet Plan,Green Fleet Plan - 2020,0,0,0,0,0,0,250,0,0,0
,FLT906672-17,Green Fleet Plan,Green Fleet Plan - 2021,0,0,0,0,0,0,0,250,0,0
,FLT906672-18,Green Fleet Plan,Green Fleet Plan - 2022,0,0,0,0,0,0,0,0,250,0
,FLT906672-7,Green Fleet Plan,Green Fleet Plan - 2011,24,0,0,0,0,0,0,0,0,0
,FLT906672-9,Green Fleet Plan,Green Fleet Plan - 2013,150,0,0,0,0,0,0,0,0,0
,FLT906862-10,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2015 ,0,188,0,0,0,0,0,0,0,0
,FLT906862-11,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2016 ,0,0,236,0,0,0,0,0,0,0
,FLT906862-12,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2017 ,0,0,0,236,0,0,0,0,0,0
,FLT906862-13,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2018,0,0,0,0,236,0,0,0,0,0
,FLT906862-14,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,236,0,0,0,0
,FLT906862-15,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,240,0,0,0
,FLT906862-16,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,240,0,0
,FLT906862-17,Fleet Services - Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,240,0
,FLT906863-10,Facilities Mgmt & Real Estate - Fleet Replacement,Vehicle/Equipment Purchase - 2015 ,0,462,0,0,0,0,0,0,0,0
,FLT906863-12,Facilities Mgmt & Real Estate - Fleet Replacement,Vehicle/Equipment Purchase - 2017 ,0,0,0,172,0,0,0,0,0,0
,FLT906863-13,Facilities Mgmt & Real Estate - Fleet Replacement,Vehicle/Equipment Purchase - 2018 ,0,0,0,0,742,0,0,0,0,0
,FLT906863-14,Facilities Mgmt & Real Estate - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,130,0,0,0,0
,FLT906863-17,Facilities Mgmt & Real Estate - Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,436,0
,FLT906863-8,Facilities Mgmt & Real Estate - Fleet Replacement,Vehicle/Equipment Purchase - 2013 ,380,0,0,0,0,0,0,0,0,0
,FLT906864-10,Clerks - Fleet Replacement,Vehicle/Equipment Purchase - 2015,0,109,0,0,0,0,0,0,0,0
,FLT906864-11,Clerks - Fleet Replacement,Vehicle/Equipment Purchase - 2016,0,0,106,0,0,0,0,0,0,0
,FLT906864-14,Clerks - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,50,0,0,0,0
,FLT906864-9,Clerks - Fleet Replacement,Vehicle/Equipment Purchase - 2014 ,30,0,0,0,0,0,0,0,0,0
,FLT906865-10,Toronto Water - Fleet Replacement,Vehicle/Equipment Purchase - 2015 ,0,"3,250",0,0,0,0,0,0,0,0
,FLT906865-3,Toronto Water - Fleet Replacement,Vehicle/Equipment Purchase - 2008,11,0,0,0,0,0,0,0,0,0
,FLT906865-8,Toronto Water - Fleet Replacement,Vehicle/Equipment Purchase - 2013 ,"1,700",0,0,0,0,0,0,0,0,0
,FLT907053-6,Maintenance System Upgrade,Maintenance System Upgrade - 2016,0,0,600,0,0,0,0,0,0,0
,FLT907053-7,Maintenance System Upgrade,Maintenance System Upgrade - 2022,0,0,0,0,0,0,0,0,700,0
,FLT907266-10,EDCT - Fleet Replacement,Vehicle/Equipment Purchase - 2017 ,0,0,0,80,0,0,0,0,0,0
,FLT907266-12,EDCT - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,34,0,0,0,0
,FLT907266-13,EDCT - Fleet Replacement,Vehicle/Equipment Purchase - 2020 ,0,0,0,0,0,0,36,0,0,0
,FLT907266-14,EDCT - Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,75,0,0
,FLT907266-8,EDCT - Fleet Replacement,Vehicle/Equipment Purchase - 2015 ,0,33,0,0,0,0,0,0,0,0
,FLT907266-9,EDCT - Fleet Replacement,Vehicle/Equipment Purchase - 2016 ,0,0,98,0,0,0,0,0,0,0
,FLT907268-13,Toronto Building - Fleet Replacement,Vehicle/Equipment Purchase - 2020 ,0,0,0,0,0,0,45,0,0,0
,FLT907268-14,Toronto Building - Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,35,0,0
,FLT907268-15,Toronto Building - Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,45,0
,FLT907269-12,PPF&A - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,34,0,0,0,0
,FLT907269-13,PPF&A - Fleet Replacement,Vehicle/Equipment Purchase - 2020,0,0,0,0,0,0,36,0,0,0
,FLT907269-14,PPF&A - Fleet Replacement,Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,40,0,0
,FLT907269-15,PPF&A - Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,45,0
,FLT907269-8,PPF&A - Fleet Replacement,Vehicle/Equipment Purchase - 2015 ,0,32,0,0,0,0,0,0,0,0
,FLT907271-14,"Shelter, Support & Housing Admin-Fleet Replacement",Vehicle/Equipment Purchase - 2021,0,0,0,0,0,0,0,45,0,0
,FLT907271-15,"Shelter, Support & Housing Admin-Fleet Replacement",Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,80,0
,FLT907271-7,"Shelter, Support & Housing Admin-Fleet Replacement",Vehicle/Equipment Purchase - 2014 ,31,0,0,0,0,0,0,0,0,0
,FLT907271-8,"Shelter, Support & Housing Admin-Fleet Replacement",Vehicle/Equipment Purchase - 2015 ,0,105,0,0,0,0,0,0,0,0
,FLT907272-10,Fleet Mgt System & Fuel System Integration,Fleet Mgt System & Fuel System Integration - 2017,0,0,0,200,0,0,0,0,0,0
,FLT907272-11,Fleet Mgt System & Fuel System Integration,Fleet Mgt System & Fuel System Integration - 2018,0,0,0,0,200,0,0,0,0,0
,FLT907272-6,Fleet Mgt System & Fuel System Integration,Fleet Mgt System & Fuel System Integration - 2014,300,0,0,0,0,0,0,0,0,0
,FLT907272-8,Fleet Mgt System & Fuel System Integration,Fleet Mgt System & Fuel System Integration - 2015,0,300,0,0,0,0,0,0,0,0
,FLT907272-9,Fleet Mgt System & Fuel System Integration,Fleet Mgt System & Fuel System Integration - 2016,0,0,200,0,0,0,0,0,0,0
,FLT907601-3,Human Resources - Fleet Replacement,Vehicle/Equipment Purchase - 2014,35,0,0,0,0,0,0,0,0,0
,FLT907601-4,Human Resources - Fleet Replacement,Vehicle/Equipment Purchase - 2022,0,0,0,0,0,0,0,0,45,0
,FLT907602-4,Information & Technology - Fleet Replacement,Vehicle/Equipment Purchase - 2019,0,0,0,0,0,30,0,0,0,0
,FNS907439-1,Investment & Debt Mgmt System Replacement 2022,Investment & Debt Mgmt System Replacement 2022,0,0,0,0,0,0,0,0,600,0
,FNS907442-1,Capital Migration to New System 2020,Capital Migration to New System 2020,0,0,0,0,0,0,250,"2,725",0,0
,FNS907443-1,Development Charges Background Study 2017,Development Charges Background Study 2017,0,0,0,130,390,0,0,0,0,0
,FNS907444-1,Payment Processing Equipment Replacement 2021,Payment Processing Equipment Replacement 2021,0,0,0,0,0,0,0,780,0,0
,GOT906376-4,Go Transit Ten-Year Expansion Program, 2007 Go Transit Ten-Year Expansion Program,"20,000",0,0,0,0,0,0,0,0,0
,HOM907345-4,BUILDING UPGRADES,SOGR FUTURE YEARS  ,0,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
,HOM907348-2,SPECIALTY SYSTEMS  ,HEALTH & SAFETY FUTURE YEARS  ,0,225,225,225,225,225,225,225,225,225
,HOM907695-2, Kipling Acres Site 2 (Phase 3),Kipling Acres 145 bed construction (Phase 3),"12,500","22,000","7,500",0,0,0,0,0,0,0
,HOM907695-3, Kipling Acres Site 2 (Phase 3),Kipling Acres 145 bed Professional Services (Ph 3),250,250,0,0,0,0,0,0,0,0
,HOM907695-5, Kipling Acres Site 2 (Phase 3),Kipling Acres 145 bed construction (Phase 3),"2,500",0,0,0,0,0,0,0,0,0
,HUM907896-2,Heritage Easement Agreement Upgrades,Exterior Limestone & Granite Upgrades FY2014,265,0,0,0,0,0,0,0,0,0
,HUM907896-3,Heritage Easement Agreement Upgrades,Pavers,740,0,0,0,0,0,0,0,0,0
,HUM907897-4,Upgrades to Permanent Capital Assets,Exterior Upgrades - Canopy & Stge Tower Roofs 2014,75,0,0,0,0,0,0,0,0,0
,HUM907897-5,Upgrades to Permanent Capital Assets,Life Safety Systems,0,0,0,77,0,0,0,77,0,0
,HUM907897-6,Upgrades to Permanent Capital Assets,Elevators,0,0,130,0,0,127,0,0,0,73
,HUM907897-8,Upgrades to Permanent Capital Assets,Electrical - MCC Panels/Wiring FY2014,189,0,0,0,0,0,0,0,0,0
,HUM907897-9,Upgrades to Permanent Capital Assets,Backstage - counterweight system/Rewiring,0,0,0,0,120,0,0,100,0,129
,ITP906881-19,Application Systems,ERP (SAP) System Upgrade 2019,0,0,0,0,0,"1,342","1,342",0,0,0
,ITP906881-66,Application Systems,Business Application Integration Licenses ,435,0,0,0,0,0,0,0,0,0
,ITP906881-86,Application Systems,Ent. Bus Intelligence Strategy & Plan ,100,0,0,0,0,0,0,0,0,0
,ITP906882-79,Corporate Planning & Management,Application Portfolio Tools & Rationalization,400,500,650,600,600,500,0,0,0,0
,ITP906882-82,Corporate Planning & Management,Ent. Project Risk & Performance Tools,0,0,0,460,440,500,500,500,0,0
,ITP906882-89,Corporate Planning & Management,IT Risk Management Framework,300,0,0,0,0,0,0,0,0,0
,ITP906883-30,Technology Infrastructure,Consolidated Data Centre ,0,0,"47,332","10,200",0,0,0,0,0,0
,ITP906883-32,Technology Infrastructure,Data Centre Zones Implementation,0,0,500,"1,000","1,500",580,0,0,0,0
,ITP906883-54,Technology Infrastructure,Business Applications Service Monitoring,0,0,200,150,150,150,250,0,0,0
,ITP906883-55,Technology Infrastructure,Consolidated Data Centre,0,"12,731","-40,701","19,495",0,0,0,0,0,0
,ITP906883-56,Technology Infrastructure,Email Replacement,"3,879","1,382",0,0,0,0,0,0,0,0
,ITP907747-13,Corporate Initiatives,Toronto Progress Web Portal,109,0,0,0,0,0,0,0,0,0
,ITP907747-14,Corporate Initiatives,Enterprise eLearning- HR,602,602,0,0,0,0,0,0,0,0
,ITP907747-15,Corporate Initiatives,Civic Engagement - Engage Toronto 2014,139,0,0,0,0,0,0,0,0,0
,LIB906417-1,Multibranch Renovation Program 2014-2016,Mechanical/Electrical,90,0,0,0,0,0,0,0,0,0
,LIB907731-1,Multi-Branch Renovation 2011-2014,Multi-Branch Renovation 2011-2014,900,0,0,0,0,0,0,0,0,0
,LIB907732-1,Virtual Branch Services 2011-2014,Virtual Branch Services 2011-2014,100,0,0,0,0,0,0,0,0,0
,LIB907733-1,Technology Asset Management Program 2011-2014,Technology Asset Management Program 2011-2014,162,0,0,0,0,0,0,0,0,0
,LIB907760-1,Multi-Branch Renovation 2012-2014, Multi-Branch Renovation 2012-2014,"1,839",0,0,0,0,0,0,0,0,0
,LIB907864-1, Tech Asset Mgmt Prg (2013-2015), Tech Asset Mgmt Prg (2013-2015),600,"1,500",0,0,0,0,0,0,0,0
,LIB907865-1,Virtual Branch Services (2013-2015),Virtual Branch Services (2013-2015),900,"1,150",0,0,0,0,0,0,0,0
,PAN907636-7,Pan Am Games - Parks & Recreation,Centennial Track Resurfacing 2011-2014,672,0,0,0,0,0,0,0,0,0
,PAN907636-9,Pan Am Games - Parks & Recreation,Project Mgmt for MPA Projects 2010-2014,124,0,0,0,0,0,0,0,0,0
,PAN907755-1,Pan Am Games - Solid Waste Management,PAAC Site Remediation,30,0,0,0,0,0,0,0,0,0
,PKS000014-167,Facility Components,311 Customer Service Strategy,"1,003",0,0,0,0,0,0,0,0,0
,PKS000014-169,Facility Components,Capital Emergency Fund FY2015-2023,0,500,500,500,500,500,500,500,500,500
,PKS000014-171,Facility Components,Investigation & Pre-Engineering SI&G  FY2015-2023,0,150,150,150,150,150,150,150,150,150
,PKS000014-179,Facility Components,Capital Asset Management Planning FY2015-2023,0,500,500,500,500,500,500,500,500,500
,PKS000016-248,Outdoor Recreation Centres,Sports Fields FY2015-2023 (SFP) ^,0,432,235,435,235,0,0,0,0,0
,PKS000016-62,Outdoor Recreation Centres,West Humber Trail Washrooms^ ,0,25,425,0,0,0,0,0,0,0
,PKS000017-390,Park Development,Master Planning PF&R FY2016-FY2023,0,0,0,0,0,0,0,0,0,100
,PKS000017-534,Park Development,Fleet - Tree Planting Partnership,24,665,0,0,0,0,0,0,0,0
,PKS000017-538,Park Development,Fleet - Forest Health Care,0,22,0,0,0,0,0,0,0,0
,PKS000017-551,Park Development,Fleet - Trees in Parks Area Maintenance,143,"1,657",0,0,0,0,0,0,0,0
,PKS000017-552,Park Development,Fleet - Trees in Natural Areas Maintenance,0,50,0,0,0,0,0,0,0,0
